Target Distance:20, Step Size:2
0:(x,y) = (0, 0)
1:(x,y) = (1.11839, 1.65808)
2:(x,y) = (0.210405, -0.123938)
3:(x,y) = (2.14226, -0.641576)
4:(x,y) = (0.503952, 0.505577)
5:(x,y) = (-0.585326, -1.17176)
6:(x,y) = (-0.411014, 0.820625)
7:(x,y) = (-0.826838, 2.77692)
8:(x,y) = (-2.75869, 2.25928)
9:(x,y) = (-1.18267, 1.02796)
10:(x,y) = (0.81246, 1.16747)
11:(x,y) = (2.65347, 0.38601)
12:(x,y) = (2.44441, 2.37505)
13:(x,y) = (2.20067, 0.389961)
14:(x,y) = (4.18577, 0.6337)
15:(x,y) = (2.50843, -0.455578)
16:(x,y) = (1.75921, -2.30995)
17:(x,y) = (3.74826, -2.519)
18:(x,y) = (5.34553, -1.31537)
19:(x,y) = (4.19837, 0.322932)
20:(x,y) = (3.41691, 2.16394)
21:(x,y) = (5.41569, 2.09414)
22:(x,y) = (3.75762, 0.975757)
23:(x,y) = (2.69778, 2.67185)
24:(x,y) = (1.23507, 1.30786)
25:(x,y) = (1.16527, 3.30664)
26:(x,y) = (3.16527, 3.30664)
27:(x,y) = (3.75002, 1.39403)
28:(x,y) = (4.26766, 3.32588)
29:(x,y) = (2.62935, 2.17873)
30:(x,y) = (1.31723, 0.669308)
31:(x,y) = (2.70655, -0.769372)
32:(x,y) = (2.77635, -2.76815)
33:(x,y) = (4.00767, -1.19213)
34:(x,y) = (4.82115, 0.634959)
35:(x,y) = (6.81019, 0.844016)
36:(x,y) = (7.65543, 2.65663)
37:(x,y) = (6.05815, 1.453)
38:(x,y) = (7.52086, 2.817)
39:(x,y) = (6.80413, 4.68416)
40:(x,y) = (7.48817, 6.56354)
41:(x,y) = (9.48056, 6.73786)
42:(x,y) = (11.4696, 6.94691)
43:(x,y) = (9.49998, 6.59962)
44:(x,y) = (11.0094, 7.91173)
45:(x,y) = (9.5467, 9.27573)
46:(x,y) = (10.3282, 7.43472)
47:(x,y) = (8.47379, 8.18393)
48:(x,y) = (8.68285, 6.19489)
49:(x,y) = (7.02477, 5.0765)
50:(x,y) = (5.25888, 4.13756)
51:(x,y) = (7.22849, 3.79027)
52:(x,y) = (8.61781, 5.22895)
53:(x,y) = (10.2952, 4.13967)
54:(x,y) = (8.39304, 4.7577)
55:(x,y) = (8.18398, 2.76866)
56:(x,y) = (8.5998, 4.72495)
57:(x,y) = (7.88307, 6.59211)
58:(x,y) = (9.45909, 5.36079)
59:(x,y) = (8.25546, 3.76352)
60:(x,y) = (6.28584, 3.41622)
61:(x,y) = (7.67516, 4.8549)
62:(x,y) = (9.61575, 5.33875)
63:(x,y) = (11.1252, 6.65086)
64:(x,y) = (11.8419, 4.7837)
65:(x,y) = (10.8419, 6.51575)
66:(x,y) = (8.86653, 6.82862)
67:(x,y) = (7.05391, 5.98339)
68:(x,y) = (8.81981, 6.92233)
69:(x,y) = (9.40455, 5.00972)
70:(x,y) = (9.1955, 3.02068)
71:(x,y) = (7.66341, 1.7351)
72:(x,y) = (6.84993, 3.56219)
73:(x,y) = (5.91099, 1.7963)
74:(x,y) = (4.40157, 3.10842)
75:(x,y) = (4.15783, 1.12332)
76:(x,y) = (3.91409, -0.86177)
77:(x,y) = (2.62852, -2.39386)
78:(x,y) = (3.85984, -3.96988)
79:(x,y) = (5.64186, -4.87786)
80:(x,y) = (3.98378, -3.75948)
81:(x,y) = (5.97891, -3.89899)
82:(x,y) = (3.98165, -3.79432)
83:(x,y) = (5.9449, -4.17593)
84:(x,y) = (4.97528, -5.92517)
85:(x,y) = (6.86632, -5.27404)
86:(x,y) = (4.91758, -5.72394)
87:(x,y) = (5.94766, -7.43827)
88:(x,y) = (4.18176, -6.49933)
89:(x,y) = (2.95044, -4.92331)
90:(x,y) = (3.66718, -3.05615)
91:(x,y) = (5.05649, -4.49483)
92:(x,y) = (4.60659, -6.44357)
93:(x,y) = (5.02241, -8.39986)
94:(x,y) = (3.09989, -8.95114)
95:(x,y) = (1.20885, -8.3)
96:(x,y) = (-0.771684, -8.02166)
97:(x,y) = (1.22071, -8.19597)
98:(x,y) = (-0.74891, -8.54326)
99:(x,y) = (-2.6895, -8.05942)
100:(x,y) = (-1.62966, -6.36332)
101:(x,y) = (-2.74805, -8.0214)
102:(x,y) = (-4.28014, -9.30697)
103:(x,y) = (-6.25551, -8.9941)
104:(x,y) = (-4.63748, -10.1697)
105:(x,y) = (-5.63748, -11.9017)
106:(x,y) = (-6.9496, -13.4111)
107:(x,y) = (-5.33156, -14.5867)
108:(x,y) = (-3.4772, -15.3359)
109:(x,y) = (-2.44712, -17.0503)
110:(x,y) = (-0.681225, -16.1113)
111:(x,y) = (0.657036, -14.625)
112:(x,y) = (1.53378, -12.8274)
113:(x,y) = (2.70935, -11.2094)
114:(x,y) = (1.27067, -12.5987)
115:(x,y) = (2.44624, -14.2168)
116:(x,y) = (2.68998, -12.2317)
117:(x,y) = (2.34268, -10.2621)
118:(x,y) = (4.10858, -11.201)
119:(x,y) = (4.17838, -9.20221)
120:(x,y) = (5.148, -7.45297)
121:(x,y) = (3.43366, -6.4229)
122:(x,y) = (2.68445, -8.27727)
123:(x,y) = (4.45034, -9.21621)
124:(x,y) = (4.06873, -7.25295)
125:(x,y) = (5.55501, -8.59122)
126:(x,y) = (7.39602, -7.80975)
127:(x,y) = (8.08006, -9.68914)
128:(x,y) = (8.25438, -11.6815)
129:(x,y) = (9.28445, -13.3959)
130:(x,y) = (10.5158, -14.9719)
131:(x,y) = (11.4238, -16.7539)
After 131 steps, the subject has the following location:
(x,y) = (11.4238, -16.7539)
 or
(m,a) = (20.278, -55.7116)
Average outward distance per step = 0.154794
